Adp,Name,Pos,Team
1,Todd Gurley,RB,LAR
2,David Johnson,RB,ARI
3,Ezekiel Elliott,RB,DAL
4,Alvin Kamara,RB,NO
5,Antonio Brown,WR,PIT
6,Saquon Barkley,RB,NYG
7,Dalvin Cook,RB,MIN
8,Melvin Gordon,RB,LAC
9,Julio Jones,WR,ATL
10,DeAndre Hopkins,WR,HOU
11,Odell Beckham,WR,NYG
12,Keenan Allen,WR,LAC
13,Michael Thomas,WR,NO
14,Christian McCaffrey,RB,CAR
15,Kareem Hunt,RB,KC
16,Leonard Fournette,RB,JAC
17,Joe Mixon,RB,CIN
18,Jordan Howard,RB,CHI
19,A.J. Green,WR,CIN
20,Rob Gronkowski,TE,NE
21,Davante Adams,WR,GB
22,Tyreek Hill,WR,KC
23,Travis Kelce,TE,KC
24,Devonta Freeman,RB,ATL
25,LeSean McCoy,RB,BUF
26,Mike Evans,WR,TB
27,Kenyan Drake,RB,MIA
28,Larry Fitzgerald,WR,ARI
29,T.Y. Hilton,WR,IND
30,Adam Thielen,WR,MIN
31,Alex Collins,RB,BAL
32,Zach Ertz,TE,PHI
33,Stefon Diggs,WR,MIN
34,Demaryius Thomas,WR,DEN
35,Emmanuel Sanders,WR,DEN
36,Allen Robinson,WR,CHI
37,Amari Cooper,WR,OAK
38,Jarvis Landry,WR,CLE
39,Golden Tate,WR,DET
40,Marvin Jones Jr,WR,DET
41,Brandin Cooks,WR,LAR
42,Dion Lewis,RB,TEN
43,JuJu Smith-Schuster,WR,PIT
44,Josh Gordon,WR,CLE
45,Jay Ajayi,RB,PHI
46,Lamar Miller,RB,HOU
47,Royce Freeman,RB,DEN
48,Marshawn Lynch,RB,OAK
49,Mark Ingram,RB,NO
50,Rex Burkhead,RB,NE
51,Le'Veon Bell,RB,PIT
52,Carlos Hyde,RB,CLE
53,Robert Woods,WR,LAR
54,Chris Hogan,WR,NE
55,Michael Crabtree,WR,BAL
56,Corey Davis,WR,TEN
57,Devin Funchess,WR,CAR
58,Aaron Rodgers,QB,GB
59,Tom Brady,QB,NE
60,Chris Thompson,RB,WAS
61,Derrick Henry,RB,TEN
62,Chris Carson,RB,SEA
63,Peyton Barber,RB,TB
64,Jordan Reed,TE,WAS
65,Jimmy Graham,TE,GB
66,Evan Engram,TE,NYG
67,Cooper Kupp,WR,LAR
68,Randall Cobb,WR,GB
69,Doug Baldwin,WR,SEA
70,Marquise Goodwin,WR,SF
71,Sammy Watkins,WR,KC
72,Nelson Agholor,WR,PHI
73,James Conner,RB,PIT
74,Duke Johnson,RB,CLE
75,Kyle Rudolph,TE,MIN
76,Jamison Crowder,WR,WAS
77,Julian Edelman,WR,NE
78,Cam Newton,QB,CAR
79,Russell Wilson,QB,SEA
80,Andrew Luck,QB,IND
81,Deshaun Watson,QB,HOU
82,Sterling Shepard,WR,NYG
83,Pierre Garcon,WR,SF
84,Will Fuller V,WR,HOU
85,Tevin Coleman,RB,ATL
86,Isaiah Crowell,RB,NYJ
87,Tarik Cohen,RB,CHI
88,Adrian Peterson,RB,WAS
89,Matt Breida,RB,SF
90,Jack Doyle,TE,IND
91,Carson Wentz,QB,PHI
92,Kenny Stills,WR,MIA
93,Jordy Nelson,WR,OAK
94,Kenny Golladay,WR,DET
95,Robby Anderson,WR,NYJ
96,Alfred Morris,RB,SF
97,Jamaal Williams,RB,GB
98,Kerryon Johnson,RB,DET
99,James White,RB,NE
100,Trey Burton,TE,CHI
101,Quincy Enunwa,WR,NYJ
102,Alshon Jeffery,WR,PHI
103,Kelvin Benjamin,WR,BUF
104,Tyler Lockett,WR,SEA
105,Mohamed Sanu,WR,ATL
106,Danny Amendola,WR,MIA
107,Chris Godwin,WR,TB
108,Geronimo Allison,WR,GB
109,Ted Ginn Jr,WR,NO
110,Josh Doctson,WR,WAS
111,Allen Hurns,WR,DAL
112,Keelan Cole,WR,JAC
113,Paul Richardson,WR,WAS
114,Ryan Grant,WR,IND
115,DeVante Parker,WR,MIA
116,Ben Roethlisberger,QB,PIT
117,Kirk Cousins,QB,MIN
118,George Kittle,TE,SF
119,David Njoku,TE,CLE
120,Benjamin Watson,TE,NO
121,Bilal Powell,RB,NYJ
122,Phillip Lindsay,RB,DEN
123,Marlon Mack,RB,IND
124,Rashaad Penny,RB,SEA
125,Sony Michel,RB,NE
126,Patrick Mahomes,QB,KC
127,Matthew Stafford,QB,DET
128,Drew Brees,QB,NO
129,John Ross,WR,CIN
130,DeSean Jackson,WR,TB
131,John Brown,WR,BAL
132,Courtland Sutton,WR,DEN
133,Philip Rivers,QB,LAC
134,Alex Smith,QB,WAS
135,Matt Ryan,QB,ATL
136,Jimmy Garoppolo,QB,SF
137,Donte Moncrief,WR,JAC
138,Mike Williams,WR,LAC
139,Michael Gallup,WR,DAL
140,Rishard Matthews,WR,TEN
141,Mike Wallace,WR,PHI
142,Theo Riddick,RB,DET
143,Ty Montgomery,RB,GB
144,Javorius Allen,RB,BAL
145,Austin Seferian-Jenkins,TE,JAC
146,Tyler Eifert,TE,CIN
147,Aaron Jones,RB,GB
148,Darren Sproles,RB,PHI
149,Austin Ekeler,RB,LAC
150,Tyrod Taylor,QB,CLE
151,Jared Goff,QB,LAR
152,Mitchell Trubisky,QB,CHI
153,Jaguars D/ST,DST,JAC
154,Jalen Richard,RB,OAK
155,Nyheim Hines,RB,IND
156,Jordan Wilkins,RB,IND
157,T.J. Yeldon,RB,JAC
158,Dede Westbrook,WR,JAC
159,Cole Beasley,WR,DAL
160,Tyler Boyd,WR,CIN
161,Jared Cook,TE,OAK
162,Anthony Miller,WR,CHI
163,Dak Prescott,QB,DAL
164,Giovani Bernard,RB,CIN
165,Latavius Murray,RB,MIN
166,Taylor Gabriel,WR,CHI
167,Calvin Ridley,WR,ATL
168,OJ Howard,TE,TB
169,Ricky Seals-Jones,TE,ARI
170,Eagles D/ST,DST,PHI
171,Rams D/ST,DST,LAR
172,Vikings D/ST,DST,MIN
173,Ravens D/ST,DST,BAL
174,Texans D/ST,DST,HOU
175,Greg Zuerlein,K,LAR
176,Stephen Gostkowski,K,NE
177,Justin Tucker,K,BAL
178,Patriots D/ST,DST,NE
179,Chargers D/ST,DST,LAC
180,Broncos D/ST,DST,DEN
181,Saints D/ST,DST,NO
182,Titans D/ST,DST,TEN
183,Bears D/ST,DST,CHI
184,Matt Bryant,K,ATL
185,Wil Lutz,K,NO
186,Chris Boswell,K,PIT
187,Robbie Gould,K,SF
188,Jake Elliott,K,PHI
189,Matt Prater,K,DET
190,Harrison Butker,K,KC
191,Adam Vinatieri,K,IND
192,Graham Gano,K,CAR
193,Ronald JonesII,RB,TB
194,Doug Martin,RB,OAK
195,Corey Clement,RB,PHI
196,Vance McDonald,TE,PIT
197,Austin Hooper,TE,ATL
198,Antonio Gates,TE,LAC
199,Devontae Booker,RB,DEN
200,C.J. Anderson,RB,CAR
201,Chase Edmonds,RB,ARI
202,LeGarrette Blount,RB,DET
203,Nick Chubb,RB,CLE
204,Chris Ivory,RB,BUF
205,Marcus Murphy,RB,BUF
206,Frank Gore,RB,MIA
207,Alfred Blue,RB,HOU
208,D'Onta Foreman,RB,HOU
209,Spencer Ware,RB,KC
210,Charles Clay,TE,BUF
211,Cameron Brate,TE,TB
212,Marcus Mariota,QB,TEN
213,Willie Snead,WR,BAL
214,Tyrell Williams,WR,LAC
215,Brandon Marshall,WR,SEA
216,Phillip Dorsett,WR,NE
217,Tajae Sharpe,WR,TEN
218,D.J. Moore,WR,CAR
219,Andy Dalton,QB,CIN
220,Ryan Tannehill,QB,MIA
221,Panthers D/ST,DST,CAR
222,Redskins D/ST,DST,WAS
223,Ryan Succop,K,TEN
224,Daniel Carlson,K,MIN
225,Dante Pettis,WR,SF
226,James Washington,WR,PIT
227,Christian Kirk,WR,ARI
228,Albert Wilson,WR,MIA
229,Chad Williams,WR,ARI
230,Austin Carr,WR,NO
231,Travis Benjamin,WR,LAC
232,DJ Chark,WR,JAC
233,Tre'Quan Smith,WR,NO
234,Cordarrelle Patterson,WR,NE
235,Jacquizz Rodgers,RB,TB
236,Kyle Juszczyk,RB,SF
237,Wayne Gallman,RB,NYG
238,Elijah McGuire,RB,NYJ
239,Jonathan Stewart,RB,NYG
240,Rod Smith,RB,DAL
241,Damien Williams,RB,KC
242,John Kelly,RB,LAR
243,Case Keenum,QB,DEN
244,Eli Manning,QB,NYG
245,Derek Carr,QB,OAK
246,Eric Ebron,TE,IND
247,Ryan Griffin,TE,HOU
248,Jonnu Smith,TE,TEN
249,Ian Thomas,TE,CAR
250,Corey Grant,RB,JAC
251,Dez Bryant,WR,FA
252,Marquez Valdes-Scantling,WR,GB
253,Cardinals D/ST,DST,ARI
254,Falcons D/ST,DST,ATL
255,Mason Crosby,K,GB
256,Josh Lambo,K,JAC
257,Will Dissly,TE,SEA
258,Hayden Hurst,TE,BAL
259,Greg Olsen,TE,CAR
260,Justin Hunter,WR,PIT
261,Deonte Thompson,WR,DAL
262,Adam Humphries,WR,TB
263,Zay Jones,WR,BUF
264,T.J. Logan,RB,ARI
265,C.J. Prosise,RB,SEA
266,Blake Bortles,QB,JAC
267,Joe Flacco,QB,BAL
268,Sam Darnold,QB,NYJ
269,Jameis Winston,QB,TB
270,Sam Bradford,QB,ARI
271,Jermaine Kearse,WR,NYJ
272,Jeremy Kerley,WR,BUF
273,Laquon Treadwell,WR,MIN
274,Trent Taylor,WR,SF
275,Torrey Smith,WR,CAR
276,Robert Turbin,RB,IND
277,Ito Smith,RB,ATL
278,Kenneth Dixon,RB,BAL
279,Christine Michael,RB,IND
280,Rob Kelley,RB,WAS
281,Jaylen Samuels,RB,PIT
282,Malcolm Brown,RB,LAR
283,Trenton Cannon,RB,NYJ
284,Chester Rogers,WR,IND
285,Cowboys D/ST,DST,DAL
286,Packers D/ST,DST,GB
287,Dustin Hopkins,K,WAS
288,Chandler Catanzaro,K,TB
289,Geoff Swaim,TE,DAL
290,Mike Gesicki,TE,MIA
291,Vernon Davis,TE,WAS
292,Luke Willson,TE,DET
293,Dallas Goedert,TE,PHI
294,Seth Roberts,WR,OAK
295,Jarius Wright,WR,CAR
296,Josh Allen,QB,BUF
297,Lions D/ST,DST,DET
298,Bengals D/ST,DST,CIN
299,Chiefs D/ST,DST,KC
300,Seahawks D/ST,DST,SEA
